户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,104.66平米,南,高层,毛坯,2020年,有 ,商品房,普通住宅,平层,板楼,城关,0,191, 18250元/平米 
1室1厅1卫,48.86平米,南北,中层,简装修,2020年,无 ,商品房,普通住宅,平层,板楼,城关,1,63, 12894元/平米 
1室3厅1卫,80平米,南北,低层,简装修,,无 ,房改房,,平层,,城关,0,118, 14750元/平米 
3室2厅2卫,118.00平米,南北,中楼层,暂无,,,,,,,安宁,0,142,12034元/平米
3室2厅1卫,94.66平米,南,中层,毛坯,2015年,有 ,个人产权,普通住宅,平层,板楼,安宁,0,110, 11621元/平米 
3室2厅1卫,113.5平米,南北,低层,暂无,,无 ,个人产权,普通住宅,平层,板楼,城关,1,131.5, 11586元/平米 
3室2厅1卫,118.00平米,南北,低楼层,暂无,,,,,,,安宁,0,130,11017元/平米
2室2厅1卫,92.5平米,南,中层,精装修,2014年,无 ,商品房,普通住宅,平层,板楼,安宁,0,133.8, 14465元/平米 
2室1厅1卫,60.50平米,西北,高楼层,暂无,,,,,,,城关,1,96,15868元/平米
2室2厅1卫,101.26平米,南,中层,精装修,2015年,有 ,商品房,,,板楼,安宁,0,148, 14616元/平米 
2室1厅1卫,83.00平米,南北,高楼层,暂无,,,,,,,七里河,0,60,7229元/平米
4室2厅2卫,208平米,南北,中层,精装修,2008年,有 ,个人产权,普通住宅,平层,,安宁,1,345, 16587元/平米 
2室1厅1卫,81.00平米,东西,中楼层,暂无,,,,,,,城关,0,78,9630元/平米
2室2厅1卫,81.45平米,东南,高层,简装修,2004年,有 ,商品房,,,板楼,七里河,1,103, 12646元/平米 
2室1厅1卫,60平米,北,高层,精装修,2003年,无 ,个人产权,普通住宅,平层,钢混,城关,1,70, 11667元/平米 
3室2厅2卫,110平米,南北,高层,毛坯,2017年,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,102, 9273元/平米 
2室2厅1卫,90平米,南北,高层,精装修,2000年,有 ,商品房,普通住宅,,板楼,城关,1,139, 15444元/平米 
1室1厅1卫,56.8平米,南,低层,精装修,2003年,无 ,个人产权,普通住宅,平层,板楼,城关,1,66, 11620元/平米 
