户型,建筑面积,朝向,楼层,装修,建筑年代,电梯,产权性质,住宅类别,建筑结构,建筑类别,区域,学校,总价,单价
2室2厅1卫,104.66,南,高,毛坯,2020,有 ,商品房,普通住宅,平层,板楼,城关,0,191.0,18250.0
1室1厅1卫,48.86,南北,中,简装修,2020,无 ,商品房,普通住宅,平层,板楼,城关,1,63.0,12894.0
1室3厅1卫,80.0,南北,低,简装修,,无 ,房改房,,平层,,城关,0,118.0,14750.0
3室2厅2卫,118.0,南北,中,,,有 ,,,,,安宁,0,142.0,12034.0
3室2厅1卫,94.66,南,中,毛坯,2015,有 ,个人产权,普通住宅,平层,板楼,安宁,0,110.0,11621.0
3室2厅1卫,113.5,南北,低,,,无 ,个人产权,普通住宅,平层,板楼,城关,1,131.5,11586.0
3室2厅1卫,118.0,南北,低,,,无 ,,,,,安宁,0,130.0,11017.0
2室2厅1卫,92.5,南,中,精装修,2014,无 ,商品房,普通住宅,平层,板楼,安宁,0,133.8,14465.0
2室1厅1卫,60.5,西北,高,,,有 ,,,,,城关,1,96.0,15868.0
2室2厅1卫,101.26,南,中,精装修,2015,有 ,商品房,,,板楼,安宁,0,148.0,14616.0
2室1厅1卫,83.0,南北,高,,,有 ,,,,,七里河,0,60.0,7229.0
2室1厅1卫,81.0,东西,中,,,有 ,,,,,城关,0,78.0,9630.0
2室2厅1卫,81.45,东南,高,简装修,2004,有 ,商品房,,,板楼,七里河,1,103.0,12646.0
2室1厅1卫,60.0,北,高,精装修,2003,无 ,个人产权,普通住宅,平层,钢混,城关,1,70.0,11667.0
3室2厅2卫,110.0,南北,高,毛坯,2017,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,102.0,9273.0
2室2厅1卫,90.0,南北,高,精装修,2000,有 ,商品房,普通住宅,,板楼,城关,1,139.0,15444.0
1室1厅1卫,56.8,南,低,精装修,2003,无 ,个人产权,普通住宅,平层,板楼,城关,1,66.0,11620.0
2室2厅1卫,91.14,南,低,,,无 ,,,,,七里河,0,65.0,7132.0
3室2厅,113.0,南北,低,,,无 ,,,,,城关,0,110.0,9735.0
2室1厅1卫,106.0,南,高,,,有 ,,,,,西固,1,80.0,7547.0
2室2厅2卫,98.0,南北,高,,,有 ,,,,,七里河,0,102.0,10408.0
2室1厅1卫,85.0,西南,高,简装修,2004,有 ,商品房,普通住宅,平层,钢混,城关,1,200.0,23529.0
2室1厅1卫,54.71,南北,高,简装修,,无 ,个人产权,普通住宅,平层,砖混,城关,0,128.0,23396.0
3室2厅2卫,133.0,南北,中,精装修,2017,有 ,个人产权,普通住宅,平层,塔板结合,城关,0,133.0,10000.0
3室2厅2卫,139.0,南北,高,,,有 ,,,,,安宁,0,89.0,6403.0
2室2厅1卫,96.67,南,高,中装修,2004,无 ,个人产权,普通住宅,平层,板楼,安宁,1,109.0,11275.0
2室2厅1卫,75.0,南北,中,精装修,2000,无 ,商品房,普通住宅,平层,板楼,城关,1,78.0,10400.0
2室2厅1卫,94.0,南北,低,简装修,2012,有 ,商品房,普通住宅,,板楼,七里河,1,135.0,14362.0
3室2厅2卫,137.0,南北,中,精装修,2008,有 ,商品房(免税),普通住宅,平层,板楼,城关,0,172.0,12555.0
2室2厅1卫,91.21,南北,低,毛坯,2017,有 ,个人产权,普通住宅,平层,,七里河,0,76.8,8420.0
3室2厅1卫,108.0,南北,高,精装修,2021,有 ,个人产权,普通住宅,平层,板楼,安宁,0,76.0,7037.0
2室2厅1卫,95.0,东南,低,毛坯,2016,有 ,商品房,普通住宅,,板楼,七里河,0,95.0,10000.0
3室2厅2卫,112.0,南北,低,,,无 ,,,,,榆中,0,59.0,5268.0
2室2厅1卫,79.74,南北,低,精装修,2005,有 ,商品房,普通住宅,,板楼,城关,0,96.0,12039.0
2室2厅1卫,100.0,南,低,,,无 ,,,,,城关,0,95.0,9500.0
